rank,title,author,publication_year,primary_parent_category,likely_leaf_nodes,rating_source,average_rating,rating_count,reputation_evidence,why_include,source_urls,status,recommended_action,corpus_row,corpus_title,corpus_author,match_score,match_author_ok,corpus_source,canonical_isbn_13,already_annotated,annotation_count,notes
1,The Intelligent Investor,Benjamin Graham,1949,fundamental_analysis_and_valuation,intrinsic_value_estimation; margin_of_safety; valuation_multiples_and_relative_valuation; emotional_discipline,Goodreads,4.23,142699,Widely cited value investing classic; high reader validation,Core value-investing anchor for margin of safety and investor temperament,https://www.goodreads.com/book/show/106835.The_Intelligent_Investor; https://en.wikipedia.org/wiki/The_Intelligent_Investor,already_annotated,Skip for now unless doing audit/review.,420,The Intelligent Investor,Benjamin Graham,1.000,yes,audit_must_include,9780062312686,yes,11,Existing annotations found in annotations_v1.csv.
2,Security Analysis,Benjamin Graham and David Dodd,1934,fundamental_analysis_and_valuation,financial_statement_analysis; intrinsic_value_estimation; margin_of_safety; valuation_multiples_and_relative_valuation,Goodreads,4.30,9876,Canonical professional value investing text,Needed for deeper valuation and security-analysis coverage beyond beginner books,https://www.goodreads.com/book/show/203409.Security_Analysis,ready_to_annotate,Open annotate.py with this corpus_row after checking content evidence.,435,Security Analysis,"Benjamin Graham, David Le Fevre Dodd",1.000,yes,curated_top50,9780071623551,no,0,Matched in corpus but not annotated yet.
3,Margin of Safety,Seth A. Klarman,1991,fundamental_analysis_and_valuation,margin_of_safety; intrinsic_value_estimation; risk_reward_and_expectancy; loss_aversion_and_drawdown_psychology,Goodreads,4.33,7133,Cult value-investing classic; strong specialist reputation,Best single book for risk-averse value investing and downside-first thinking,https://www.goodreads.com/book/show/746936; https://www.goodreads.com/author/show/395523.Seth_A_Klarman,ready_to_annotate,Open annotate.py with this corpus_row after checking content evidence.,436,Margin of Safety,Seth A. Klarman,1.000,yes,curated_top50,9780887305108,no,0,Matched in corpus but not annotated yet.
4,The Essays of Warren Buffett,Warren Buffett and Lawrence Cunningham,1997,fundamental_analysis_and_valuation,business_quality_and_competitive_advantage; earnings_growth_and_profitability_drivers; passive_vs_active_portfolio_management; process_oriented_decision_making,Goodreads,4.33,8293,High Goodreads validation; primary-source Buffett shareholder-letter synthesis,"Covers business quality, capital allocation, and long-term ownership logic",https://www.goodreads.com/en/book/show/145565.The_Essays_of_Warren_Buffett_,ready_to_annotate,Open annotate.py with this corpus_row after checking content evidence.,437,The Essays of Warren Buffett,Warren Buffett,1.000,yes,curated_top50,9780470824412,no,0,Matched in corpus but not annotated yet.
5,Common Stocks and Uncommon Profits,Philip A. Fisher,1958,fundamental_analysis_and_valuation,business_quality_and_competitive_advantage; earnings_growth_and_profitability_drivers; intrinsic_value_estimation,Goodreads,4.14,16635,Classic growth-quality investing book with large rating count,Adds qualitative business-analysis coverage that Graham-style books underweight,https://www.goodreads.com/en/book/show/25574.Common_Stocks_and_Uncommon_Profits_and_Other_Writings,ready_to_annotate,Open annotate.py with this corpus_row after checking content evidence.,438,Common Stocks and Uncommon Profits,Philip A. Fisher,1.000,yes,curated_top50,9780471246091,no,0,Matched in corpus but not annotated yet.
6,One Up On Wall Street,Peter Lynch,1989,fundamental_analysis_and_valuation,business_quality_and_competitive_advantage; earnings_growth_and_profitability_drivers; valuation_multiples_and_relative_valuation; market_participants_and_incentives,Goodreads,4.29,41314,High rating count; mainstream investing classic,"Useful for practical company classification, stock narratives, and retail-investor edge claims",https://www.goodreads.com/book/show/762462.One_Up_On_Wall_Street,ready_to_annotate,Open annotate.py with this corpus_row after checking content evidence.,439,One Up On Wall Street,Peter Lynch,1.000,yes,curated_top50,9781439126158,no,0,Matched in corpus but not annotated yet.
7,The Most Important Thing,Howard Marks,2011,risk_management,risk_reward_and_expectancy; drawdown_management; probabilistic_thinking_and_uncertainty; process_oriented_decision_making,Goodreads,4.32,16745,Highly rated Oaktree memo-based investing text,"Strong bridge between valuation, risk, second-level thinking, and cycles",https://www.goodreads.com/book/show/10454418-the-most-important-thing,ready_to_annotate,Open annotate.py with this corpus_row after checking content evidence.,440,The Most Important Thing,Howard Marks,1.000,yes,curated_top50,9780231527095,no,0,Matched in corpus but not annotated yet.
8,You Can Be a Stock Market Genius,Joel Greenblatt,1997,fundamental_analysis_and_valuation,intrinsic_value_estimation; market_participants_and_incentives; valuation_multiples_and_relative_valuation; margin_of_safety,Goodreads,4.21,8702,High specialist reputation; strong Goodreads rating,"Covers special situations, spin-offs, restructurings, and inefficient-market niches",https://www.goodreads.com/work/editions/111891-you-can-be-a-stock-market-genius-uncover-the-secret-hiding-places-of-st,ready_to_annotate,Open annotate.py with this corpus_row after checking content evidence.,441,You Can Be a Stock Market Genius,Joel Greenblatt,1.000,yes,curated_top50,9780684840079,no,0,Matched in corpus but not annotated yet.
9,The Little Book That Beats the Market,Joel Greenblatt,2005,fundamental_analysis_and_valuation,valuation_multiples_and_relative_valuation; earnings_growth_and_profitability_drivers; strategy_design_and_rule_definition,Goodreads,not_verified,9771,Popular systematic value-quality framework,Useful for simple rule-based factor thinking and quality/value screening,https://www.goodreads.com/book/show/75889.The_Little_Book_That_Beats_the_Market; https://www.goodreads.com/en/book/show/8247775-the-little-book-that-still-beats-the-market,ready_to_annotate,Open annotate.py with this corpus_row after checking content evidence.,442,The Little Book That Beats the Market,Joel Greenblatt,1.000,yes,curated_top50,9780471773627,no,0,Matched in corpus but not annotated yet.
10,Poor Charlie's Almanack,Charles T. Munger,2005,trading_psychology_and_behavioral_finance,cognitive_biases; process_oriented_decision_making; probabilistic_thinking_and_uncertainty; business_quality_and_competitive_advantage,Goodreads,4.39,19224,Strong reader validation; Munger mental-model canon,Excellent for cognitive-bias tagging and multidisciplinary decision-making,https://www.goodreads.com/book/show/944652.Poor_Charlie_s_Almanack; https://www.goodreads.com/author/list/236437.Charles_T_Munger,ready_to_annotate,Open annotate.py with this corpus_row after checking content evidence.,443,Poor Charlie’s Almanack,Charles T. Munger,1.000,yes,curated_top50,9781953953247,no,0,Matched in corpus but not annotated yet.
11,The Outsiders,William N. Thorndike Jr.,2012,fundamental_analysis_and_valuation,business_quality_and_competitive_advantage; earnings_growth_and_profitability_drivers; intrinsic_value_estimation,Goodreads,4.23,13841,High rating count; capital-allocation classic,Adds CEO capital allocation and business-quality evidence to the taxonomy,https://www.goodreads.com/book/show/13586932-the-outsiders,ready_to_annotate,Open annotate.py with this corpus_row after checking content evidence.,465,The Outsiders,William Thorndike,1.000,yes,curated_top50,9781422162675,no,0,Matched in corpus but not annotated yet.
12,Value Investing: From Graham to Buffett and Beyond,Bruce Greenwald et al.,2001,fundamental_analysis_and_valuation,intrinsic_value_estimation; margin_of_safety; financial_statement_analysis; valuation_multiples_and_relative_valuation,expert sources only,N/A,N/A,Columbia value-investing lineage; academic/practitioner text,Useful as a structured bridge from Graham principles to modern valuation application,https://books.google.com/books/about/Value_Investing.html?id=Jg6rAAAACAAJ,ready_to_annotate,Open annotate.py with this corpus_row after checking content evidence.,466,Value Investing,"Bruce C. Greenwald, Judd Kahn, Erin Bellissimo, Mark A. Cooper, Tano Santos",1.000,yes,curated_top50,9780470116739,no,0,Matched in corpus but not annotated yet.
13,International Financial Statement Analysis,Thomas R. Robinson et al.,2008,fundamental_analysis_and_valuation,financial_statement_analysis; earnings_growth_and_profitability_drivers; valuation_multiples_and_relative_valuation,expert sources only,N/A,N/A,CFA Institute Investment Series; Wiley publication,Best fit for rigorous accounting and statement-analysis annotation,https://www.wiley.com/en-us/International%2BFinancial%2BStatement%2BAnalysis%2C%2B4th%2BEdition-p-9781119628149,already_annotated,Skip for now unless doing audit/review.,192,International Financial Statement Analysis,"Thomas R. Robinson, Elaine Henry, Wendy L. Pirie, Michael A. Broihahn",1.000,yes,google_books,9781119029748,yes,8,Existing annotations found in annotations_v1.csv.
14,Equity Asset Valuation,Jerald E. Pinto et al.,2007,fundamental_analysis_and_valuation,intrinsic_value_estimation; valuation_multiples_and_relative_valuation; earnings_growth_and_profitability_drivers,expert sources only,N/A,N/A,CFA Institute Investment Series; Wiley publication,Directly covers valuation models and equity-pricing methods,https://www.wiley.com/en-ie/Equity%2BAsset%2BValuation%2C%2B4th%2BEdition-p-9781119628101,ready_to_annotate,Open annotate.py with this corpus_row after checking content evidence.,444,Equity Asset Valuation,"Jerald E. Pinto, Elaine Henry, Thomas R. Robinson, John D. Stowe",1.000,yes,curated_top50,9780470579657,no,0,Matched in corpus but not annotated yet.
15,Valuation: Measuring and Managing the Value of Companies,McKinsey & Company / Koller Goedhart Wessels,1990,fundamental_analysis_and_valuation,intrinsic_value_estimation; financial_statement_analysis; earnings_growth_and_profitability_drivers; valuation_multiples_and_relative_valuation,expert sources only,N/A,N/A,Practitioner-standard corporate valuation text,"Needed for DCF, ROIC, growth, and enterprise-valuation coverage",https://www.wiley.com/en-us/Valuation%3A%2BMeasuring%2Band%2BManaging%2Bthe%2BValue%2Bof%2BCompanies%2C%2B7th%2BEdition-p-9781119611868,ready_to_annotate,Open annotate.py with this corpus_row after checking content evidence.,467,Valuation,"McKinsey & Company Inc., Tim Koller, Marc Goedhart, David Wessels",1.000,yes,curated_top50,9781118873939,no,0,Matched in corpus but not annotated yet.
16,Investment Valuation,Aswath Damodaran,1994,fundamental_analysis_and_valuation,intrinsic_value_estimation; valuation_multiples_and_relative_valuation; financial_statement_analysis,expert sources only,N/A,N/A,Damodaran valuation canon; university/publisher reputation,"High-value annotation source for DCF, relative valuation, and valuation assumptions",https://pages.stern.nyu.edu/~adamodar/,ready_to_annotate,Open annotate.py with this corpus_row after checking content evidence.,445,Investment Valuation,Aswath Damodaran,1.000,yes,curated_top50,9780471414902,no,0,Matched in corpus but not annotated yet.
17,Quality Investing,Lawrence A. Cunningham Torkell T. Eide and Patrick Hargreaves,2016,fundamental_analysis_and_valuation,business_quality_and_competitive_advantage; earnings_growth_and_profitability_drivers; intrinsic_value_estimation,expert sources only,N/A,N/A,Specialist quality-investing text,Fills quality/moat/profitability leaves better than broad investing books,https://www.harriman-house.com/qualityinvesting,ready_to_annotate,Open annotate.py with this corpus_row after checking content evidence.,446,Quality Investing,"Torkell T. Eide, Patrick Hargreaves, Lawrence A. Cunningham",1.000,yes,curated_top50,9780857195012,no,0,Matched in corpus but not annotated yet.
18,Financial Shenanigans,Howard Schilit,1993,fundamental_analysis_and_valuation,financial_statement_analysis; earnings_growth_and_profitability_drivers; risk_reward_and_expectancy,expert sources only,N/A,N/A,Well-known forensic accounting text,Important for accounting red flags and avoiding false valuation signals,https://www.mheducation.com/highered/product/financial-shenanigans-fourth-edition-schilit-perler/M9781260117264.html,ready_to_annotate,Open annotate.py with this corpus_row after checking content evidence.,447,Financial Shenanigans,"Howard M. Schilit, Yoni Engelhart, Jeremy Perler",1.000,yes,curated_top50,,no,0,Matched in corpus but not annotated yet.
