google_volume_id,title,author,concept_slug,strength,rationale,annotation_type,model,created_at
VcouDwAAQBAJ,Thinking in Bets,Annie Duke,probabilistic_thinking_and_uncertainty,1.0,"The book's central thesis is reframing all decisions as bets under uncertainty, teaching readers to assign probabilities, acknowledge incomplete information, and think in distributions of outcomes rather than certainties.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:21:47.893113+00:00
VcouDwAAQBAJ,Thinking in Bets,Annie Duke,cognitive_biases,1.0,"Duke dedicates substantial coverage to biases such as resulting, hindsight bias, motivated reasoning, and confirmation bias, explaining how they distort decision quality and how to counter them.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:21:47.893113+00:00
VcouDwAAQBAJ,Thinking in Bets,Annie Duke,process_oriented_decision_making,1.0,"A core theme is separating decision-process quality from outcome quality ('resulting'), explicitly teaching readers to judge and improve decisions by the quality of the process, not just what happened.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:21:47.893113+00:00
VcouDwAAQBAJ,Thinking in Bets,Annie Duke,emotional_discipline,0.5,"Duke argues that keeping emotions out of the decision-making process is essential for learning rationally from results and avoiding reactive, biased judgments.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:21:47.893113+00:00
VcouDwAAQBAJ,Thinking in Bets,Annie Duke,loss_aversion_and_drawdown_psychology,0.5,The book covers how loss aversion and the pain of bad outcomes drive irrational post-hoc reasoning and distort learning from experience.,manual_grounded,claude-sonnet-4-6,2026-06-13T02:21:47.893113+00:00
45OmCQAAQBAJ,Superforecasting,"Philip Tetlock, Dan Gardner",probabilistic_thinking_and_uncertainty,1.0,"Probabilistic thinking is the book's central recurring theme: superforecasters are defined by thinking in probabilities, applying base rates, doing Bayesian updating, and accepting uncertainty rather than deterministic narratives.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:22:12.032263+00:00
45OmCQAAQBAJ,Superforecasting,"Philip Tetlock, Dan Gardner",cognitive_biases,1.0,"Chapter 2 ('Illusions of Knowledge') and the book throughout actively teach how cognitive biases—overconfidence, anchoring, hindsight bias—distort forecasts and how to counteract them.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:22:12.032263+00:00
45OmCQAAQBAJ,Superforecasting,"Philip Tetlock, Dan Gardner",process_oriented_decision_making,1.0,"The Ten Commandments appendix and multiple chapters emphasize evaluating forecasters by repeatable process (structured decomposition, active open-mindedness, evidence gathering) rather than by individual outcomes.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:22:12.032263+00:00
45OmCQAAQBAJ,Superforecasting,"Philip Tetlock, Dan Gardner",journaling_and_performance_review,1.0,"Chapter 3 ('Keeping Score') is dedicated to tracking predictive accuracy via Brier scores and systematic review of past forecasts, framed as essential to improvement.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:22:12.032263+00:00
45OmCQAAQBAJ,Superforecasting,"Philip Tetlock, Dan Gardner",system_iteration_and_continuous_improvement,0.5,"The 'Perpetual Beta' chapter explicitly covers refining one's forecasting process over time through feedback loops, updating beliefs, and learning from errors.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:22:12.032263+00:00
45OmCQAAQBAJ,Superforecasting,"Philip Tetlock, Dan Gardner",emotional_discipline,0.5,"The book discusses intellectual humility, willingness to change course, and resisting emotional commitment to prior views as traits of superforecasters, constituting a real but secondary topic.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:22:12.032263+00:00
rkOUnAEACAAJ,Antifragile,Nassim Nicholas Taleb,probabilistic_thinking_and_uncertainty,1.0,"The book's central thesis — that systems should be designed to benefit from, rather than predict, random shocks and Black Swan events — is a sustained, book-length treatment of uncertainty and probabilistic thinking.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:22:41.513199+00:00
rkOUnAEACAAJ,Antifragile,Nassim Nicholas Taleb,risk_reward_and_expectancy,1.0,"Taleb explicitly frames antifragility as asymmetry of payoffs (more upside than downside), and Chapter 10 formally equates antifragility with favorable risk-reward asymmetry and long-run expectancy from volatility.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:22:41.513199+00:00
rkOUnAEACAAJ,Antifragile,Nassim Nicholas Taleb,drawdown_management,0.5,"The barbell strategy (90% safe assets, 10% high-convexity bets) is taught as a method to survive catastrophic losses while preserving upside, directly addressing capital preservation under extreme adverse conditions.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:22:41.513199+00:00
rkOUnAEACAAJ,Antifragile,Nassim Nicholas Taleb,leverage_and_margin_risk,0.5,Taleb uses the example of overleveraged fragile investment strategies — where borrowing amplifies downside without capping it — as the canonical illustration of fragility in financial systems.,manual_grounded,claude-sonnet-4-6,2026-06-13T02:22:41.513199+00:00
rkOUnAEACAAJ,Antifragile,Nassim Nicholas Taleb,cognitive_biases,0.5,"The book critiques 'naive intervention,' overconfidence in prediction, and the 'Soviet-Harvard delusion' as systematic thinking errors that make systems more fragile, consistent with cognitive bias coverage.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:22:41.513199+00:00
