book,author,concept_slug,status,pred_strength,truth_strength,rationale
Fixed Income Analysis,Frank J. Fabozzi,leverage_and_margin_risk,FN,,1.0,
Fixed Income Analysis,Frank J. Fabozzi,passive_vs_active_portfolio_management,FN,,1.0,
Fixed Income Analysis,Frank J. Fabozzi,portfolio_rebalancing,FN,,0.5,
Fixed Income Analysis,Frank J. Fabozzi,price_formation_and_market_efficiency,FN,,0.5,
Fixed Income Analysis,Frank J. Fabozzi,currency_and_global_macro_forces,FN,,1.0,
Fixed Income Analysis,Frank J. Fabozzi,liquidity_and_market_depth,FN,,0.5,
Principles for Dealing with the Changing World Order,Ray Dalio,economic_indicators_and_data_interpretation,FN,,1.0,
The Little Book That Beats the Market,Joel Greenblatt,passive_vs_active_portfolio_management,FP,0.5,,"The book discusses beating the market and professional managers, contrasting with passive returns."
The Little Book That Beats the Market,Joel Greenblatt,earnings_growth_and_profitability_drivers,FP,0.5,,The formula relies on return on invested capital as a key profitability driver.
The Little Book That Beats the Market,Joel Greenblatt,price_formation_and_market_efficiency,FP,0.5,,"Greenblatt explains why the formula continues to work despite being known, addressing market efficiency."
The Little Book That Beats the Market,Joel Greenblatt,margin_of_safety,FP,0.5,,"The book emphasizes buying companies at bargain prices as a low-risk method, reflecting value-investing margin of safety."
The Little Book That Beats the Market,Joel Greenblatt,intrinsic_value_estimation,FP,0.5,,Buying good companies at bargain prices involves estimating what a business is worth relative to its price.
The Little Book That Beats the Market,Joel Greenblatt,emotional_discipline,FN,,0.5,
The Little Book That Beats the Market,Joel Greenblatt,portfolio_rebalancing,FN,,1.0,
The Little Book That Beats the Market,Joel Greenblatt,diversification,FN,,0.5,
The Little Book That Beats the Market,Joel Greenblatt,backtesting_and_strategy_validation,FN,,0.5,
The Little Book That Beats the Market,Joel Greenblatt,financial_statement_analysis,FN,,0.5,
Equity Asset Valuation,"Jerald E. Pinto, Elaine Henry, Thomas R. Robinson, John D. Stowe",asset_classes_and_financial_instruments,FP,0.5,,The book focuses on equity securities as a financial instrument and asset class.
Equity Asset Valuation,"Jerald E. Pinto, Elaine Henry, Thomas R. Robinson, John D. Stowe",risk_return_tradeoff,FN,,1.0,
Equity Asset Valuation,"Jerald E. Pinto, Elaine Henry, Thomas R. Robinson, John D. Stowe",business_quality_and_competitive_advantage,FN,,0.5,
Equity Asset Valuation,"Jerald E. Pinto, Elaine Henry, Thomas R. Robinson, John D. Stowe",price_formation_and_market_efficiency,FN,,0.5,
Entries & Exits,Alexander Elder,journaling_and_performance_review,FN,,1.0,
Entries & Exits,Alexander Elder,execution_quality_and_trade_implementation,FN,,0.3,
Entries & Exits,Alexander Elder,process_oriented_decision_making,FN,,1.0,
Quality Investing,"Torkell T. Eide, Patrick Hargreaves, Lawrence A. Cunningham",price_formation_and_market_efficiency,FP,0.5,,The book engages finance theory of mean reversion and why exceptional performance is expected to fade toward average.
Quality Investing,"Torkell T. Eide, Patrick Hargreaves, Lawrence A. Cunningham",time_horizon_and_goal_based_investing,FP,0.5,,The philosophy emphasizes owning outstanding companies for the long term.
Quality Investing,"Torkell T. Eide, Patrick Hargreaves, Lawrence A. Cunningham",financial_statement_analysis,FN,,0.5,
Quality Investing,"Torkell T. Eide, Patrick Hargreaves, Lawrence A. Cunningham",process_oriented_decision_making,FN,,1.0,
Quality Investing,"Torkell T. Eide, Patrick Hargreaves, Lawrence A. Cunningham",cognitive_biases,FN,,0.5,
The Alchemy of Finance,George Soros,market_structure_and_regime_identification,FN,,1.0,
The Alchemy of Finance,George Soros,interest_rates_and_monetary_policy,FN,,1.0,
The Alchemy of Finance,George Soros,probabilistic_thinking_and_uncertainty,FN,,0.5,
The Alchemy of Finance,George Soros,backtesting_and_strategy_validation,FN,,0.5,
The Alchemy of Finance,George Soros,cognitive_biases,FN,,1.0,
The Alchemy of Finance,George Soros,market_participants_and_incentives,FN,,0.5,
The Alchemy of Finance,George Soros,credit_debt_and_financial_crises,FN,,1.0,
The Art and Science of Technical Analysis,Adam Grimes,price_formation_and_market_efficiency,FP,1.0,,The book explores why randomness prevails most of the time and how buying/selling pressure causes price patterns.
The Art and Science of Technical Analysis,Adam Grimes,process_oriented_decision_making,FP,0.5,,It helps traders understand their own performance and find a more productive path forward.
The Art and Science of Technical Analysis,Adam Grimes,backtesting_and_strategy_validation,FP,1.0,,The book uses extensive statistical analysis to validate or debunk specific patterns and strategies.
The Art and Science of Technical Analysis,Adam Grimes,risk_reward_and_expectancy,FN,,1.0,
The Art and Science of Technical Analysis,Adam Grimes,journaling_and_performance_review,FN,,1.0,
The Art and Science of Technical Analysis,Adam Grimes,cognitive_biases,FN,,1.0,
The Art and Science of Technical Analysis,Adam Grimes,stop_loss_and_exit_rules,FN,,1.0,
The Art and Science of Technical Analysis,Adam Grimes,position_sizing,FN,,1.0,
The Art and Science of Technical Analysis,Adam Grimes,trade_planning_and_preparation,FN,,1.0,
Capital Markets Trading and Investment Strategies in China,Xiaojiang Zhang,interest_rates_and_monetary_policy,FP,0.5,,"Coverage of money markets, fixed income, and term structure pricing implies treatment of interest rates."
Capital Markets Trading and Investment Strategies in China,Xiaojiang Zhang,economic_indicators_and_data_interpretation,FP,0.5,,It discusses the macro and industry economic framework underlying the markets.
Capital Markets Trading and Investment Strategies in China,Xiaojiang Zhang,strategy_design_and_rule_definition,FP,0.5,,It presents some of the most frequently applied trading and investment strategies.
Capital Markets Trading and Investment Strategies in China,Xiaojiang Zhang,currency_and_global_macro_forces,FP,1.0,,The book details foreign exchange markets and the macroeconomic framework and liberalization of Chinese capital markets in a global strategy context.
Capital Markets Trading and Investment Strategies in China,Xiaojiang Zhang,market_participants_and_incentives,FP,1.0,,It examines the interaction of various participants in the markets and their trading and investment objectives and rationales.
Capital Markets Trading and Investment Strategies in China,Xiaojiang Zhang,intrinsic_value_estimation,FP,0.5,,The book addresses the analytical pricing term structure of instruments.
Come Into My Trading Room,Alexander Elder,emotional_discipline,FN,,1.0,
Come Into My Trading Room,Alexander Elder,exposure_and_concentration_limits,FN,,1.0,
Come Into My Trading Room,Alexander Elder,market_structure_and_regime_identification,FN,,1.0,
Come Into My Trading Room,Alexander Elder,journaling_and_performance_review,FN,,1.0,
Come Into My Trading Room,Alexander Elder,strategy_design_and_rule_definition,FN,,1.0,
Come Into My Trading Room,Alexander Elder,backtesting_and_strategy_validation,FN,,1.0,
Come Into My Trading Room,Alexander Elder,trend_analysis,FN,,1.0,
Come Into My Trading Room,Alexander Elder,process_oriented_decision_making,FN,,1.0,
Come Into My Trading Room,Alexander Elder,momentum_and_technical_indicators,FN,,1.0,
Come Into My Trading Room,Alexander Elder,position_sizing,FN,,1.0,
Come Into My Trading Room,Alexander Elder,stop_loss_and_exit_rules,FN,,1.0,
Come Into My Trading Room,Alexander Elder,trade_planning_and_preparation,FN,,1.0,
Come Into My Trading Room,Alexander Elder,drawdown_management,FN,,1.0,
Common Sense on Mutual Funds,John C. Bogle,emotional_discipline,FN,,0.5,
Common Sense on Mutual Funds,John C. Bogle,portfolio_rebalancing,FN,,0.5,
Common Sense on Mutual Funds,John C. Bogle,cognitive_biases,FN,,0.5,
Common Sense on Mutual Funds,John C. Bogle,overtrading_and_impulse_control,FN,,0.5,
Common Sense on Mutual Funds,John C. Bogle,asset_classes_and_financial_instruments,FN,,1.0,
Common Sense on Mutual Funds,John C. Bogle,risk_return_tradeoff,FN,,1.0,
Poor Charlie’s Almanack,Charles T. Munger,emotional_discipline,FN,,1.0,
Poor Charlie’s Almanack,Charles T. Munger,probabilistic_thinking_and_uncertainty,FN,,0.5,
Poor Charlie’s Almanack,Charles T. Munger,diversification,FN,,0.5,
Poor Charlie’s Almanack,Charles T. Munger,cognitive_biases,FN,,1.0,
Poor Charlie’s Almanack,Charles T. Munger,margin_of_safety,FN,,0.5,
Poor Charlie’s Almanack,Charles T. Munger,financial_statement_analysis,FN,,0.5,
Poor Charlie’s Almanack,Charles T. Munger,intrinsic_value_estimation,FN,,0.5,
"Manias, Panics, and Crashes","Robert Z. Aliber, Charles P. Kindleberger, Robert N. McCauley",leverage_and_margin_risk,FN,,0.5,
"Manias, Panics, and Crashes","Robert Z. Aliber, Charles P. Kindleberger, Robert N. McCauley",market_structure_and_regime_identification,FN,,0.5,
"Manias, Panics, and Crashes","Robert Z. Aliber, Charles P. Kindleberger, Robert N. McCauley",loss_aversion_and_drawdown_psychology,FN,,0.5,
"Manias, Panics, and Crashes","Robert Z. Aliber, Charles P. Kindleberger, Robert N. McCauley",currency_and_global_macro_forces,FN,,1.0,
The Outsiders,William Thorndike,process_oriented_decision_making,FN,,0.5,
Active Portfolio Management: A Quantitative Approach for Producing Superior Returns and Selecting Superior Returns and Controlling Risk,"Richard C. Grinold, Ronald N. Kahn",asset_allocation,FP,0.5,,The second edition expands to explicitly cover asset allocation as part of the active management framework.
Active Portfolio Management: A Quantitative Approach for Producing Superior Returns and Selecting Superior Returns and Controlling Risk,"Richard C. Grinold, Ronald N. Kahn",exposure_and_concentration_limits,FN,,1.0,
Active Portfolio Management: A Quantitative Approach for Producing Superior Returns and Selecting Superior Returns and Controlling Risk,"Richard C. Grinold, Ronald N. Kahn",risk_reward_and_expectancy,FN,,1.0,
Active Portfolio Management: A Quantitative Approach for Producing Superior Returns and Selecting Superior Returns and Controlling Risk,"Richard C. Grinold, Ronald N. Kahn",journaling_and_performance_review,FN,,1.0,
Active Portfolio Management: A Quantitative Approach for Producing Superior Returns and Selecting Superior Returns and Controlling Risk,"Richard C. Grinold, Ronald N. Kahn",portfolio_rebalancing,FN,,0.5,
Active Portfolio Management: A Quantitative Approach for Producing Superior Returns and Selecting Superior Returns and Controlling Risk,"Richard C. Grinold, Ronald N. Kahn",diversification,FN,,0.5,
Active Portfolio Management: A Quantitative Approach for Producing Superior Returns and Selecting Superior Returns and Controlling Risk,"Richard C. Grinold, Ronald N. Kahn",price_formation_and_market_efficiency,FN,,0.5,
